Date,Day,Breakfast (kg),Lunch (kg),Dinner (kg),Total Wastage (kg)
2021-01-04,Monday,3.43,8.41,11.16,23
2021-01-05,Tuesday,3.79,7.23,6.76,17.78
2021-01-06,Wednesday,2.78,10.96,8.42,22.16
2021-01-07,Thursday,2.56,10.3,9.63,22.49
2021-01-08,Friday,4.24,7.5,5.81,17.55
2021-01-09,Saturday,10.95,9.42,6.04,26.41
2021-01-10,Sunday,4.79,8.49,9.32,22.6
2021-01-11,Monday,4.27,12.9,9.5,26.67
2021-01-12,Tuesday,5.19,9.04,6.91,21.14
2021-01-13,Wednesday,3.84,11.31,10.76,25.91
2021-01-14,Thursday,4.93,16.44,14.12,35.49
2021-01-15,Friday,4.65,8.69,8.36,21.7
2021-01-16,Saturday,5.44,7.34,8.97,21.75
2021-01-17,Sunday,8.16,11.92,11.72,31.8
2021-01-18,Monday,7.46,12.68,17.96,38.1
2021-01-19,Tuesday,11.39,13.46,9.98,34.83
2021-01-20,Wednesday,9.01,9.25,16.34,34.6
2021-01-21,Thursday,9.42,12.95,12.92,35.29
2021-01-22,Friday,6.39,13.11,11.21,30.71
2021-01-23,Saturday,6.77,14.08,10.85,31.7
2021-01-24,Sunday,11.24,13.71,11.96,36.91
2021-01-25,Monday,7.88,21,13.33,42.21
2021-01-26,Tuesday,8.03,15.97,19.25,43.25
2021-01-27,Wednesday,11.61,15.16,16.01,42.78
2021-01-28,Thursday,6.88,9.29,12.47,28.64
2021-01-29,Friday,9.19,11.56,13.49,34.24
2021-01-30,Saturday,4.77,17.24,16.14,38.15
2021-01-31,Sunday,10.48,14.98,19.23,44.69
2021-02-01,Monday,8.86,12.25,21.42,42.53
2021-02-02,Tuesday,5.4,10.18,19.78,35.36
2021-02-03,Wednesday,8.4,7.06,19.22,34.68
2021-02-04,Thursday,11.38,10.33,12.72,34.43
2021-02-05,Friday,6.7,16.55,10.1,33.35
2021-02-06,Saturday,8.6,17.15,16.8,42.55
2021-02-07,Sunday,9.17,9.39,11.62,30.18
2021-02-08,Monday,10.91,7.96,8.13,27
2021-02-09,Tuesday,10.3,6.99,16.71,34
2021-02-10,Wednesday,8.25,10.88,16.38,35.51
2021-02-11,Thursday,5.99,9.46,21.14,36.59
2021-02-12,Friday,7.09,18.82,11.16,37.07
2021-02-13,Saturday,4.78,14.57,12.22,31.57
2021-02-14,Sunday,9.95,8.55,10.56,29.06
2021-02-15,Monday,7.5,15.05,7.57,30.12
2021-02-16,Tuesday,7.87,8.8,11.74,28.41
2021-02-17,Wednesday,8.23,18.1,16.43,42.76
2021-02-18,Thursday,10.42,8.39,14.62,33.43
2021-02-19,Friday,8.63,23.84,10.14,42.61
2021-02-20,Saturday,8.23,13.1,7.43,28.76
2021-02-21,Sunday,11.59,8.83,6.86,27.28
2021-02-22,Monday,2.27,7.41,7.88,17.56
2021-02-23,Tuesday,9.83,6.82,9.7,26.35
2021-02-24,Wednesday,7.35,7.8,6.73,21.88
2021-02-25,Thursday,7.56,16.56,9.87,33.99
2021-02-26,Friday,7.16,8.14,9.77,25.07
2021-02-27,Saturday,6.45,11.34,10.08,27.87
2021-02-28,Sunday,8.6,8.84,7.36,24.8
2021-03-01,Monday,7.19,10.31,8.63,26.13
2021-03-02,Tuesday,11.61,13.81,12.11,37.53
2021-03-03,Wednesday,7.75,14.78,7.54,30.07
2021-03-04,Thursday,7.01,11.19,5.02,23.22
2021-03-05,Friday,5.6,5.16,4.03,14.79
2021-03-06,Saturday,7.28,7.96,8.59,23.83
2021-03-07,Sunday,8.53,16.2,15.71,40.44
2021-03-08,Monday,8.93,6.48,8.38,23.79
2021-03-09,Tuesday,10.15,5.93,9.37,25.45
2021-03-10,Wednesday,9.03,7.46,10.43,26.92
2021-03-11,Thursday,7.7,11.01,7.69,26.4
2021-03-12,Friday,5.42,9.18,8.52,23.12
2021-03-13,Saturday,7.36,9.18,14.52,31.06
2021-03-14,Sunday,8.86,13.41,11.02,33.29
2021-03-15,Monday,9.31,8.78,14.5,32.59
2021-03-16,Tuesday,6.99,13.61,10.66,31.26
2021-03-17,Wednesday,7.19,16.36,11.26,34.81
2021-03-18,Thursday,6.63,23.18,12.77,42.58
2021-03-19,Friday,5.24,9.55,9.54,24.33
2021-03-20,Saturday,6.17,15.9,8.7,30.77
2021-03-21,Sunday,7.63,15.97,11.08,34.68
2021-03-22,Monday,5.11,13.05,15.22,33.38
2021-03-23,Tuesday,6.59,15.35,13.46,35.4
2021-03-24,Wednesday,5.28,10.9,17.74,33.92
2021-03-25,Thursday,7.16,16.79,11.87,35.82
2021-03-26,Friday,3.89,14.01,10.49,28.39
2021-03-27,Saturday,7.05,18.09,11.92,37.06
2021-03-28,Sunday,5.83,7.05,15.13,28.01
2021-03-29,Monday,7.48,15.2,19.53,42.21
2021-03-30,Tuesday,5.64,9.27,13.71,28.62
2021-03-31,Wednesday,7.5,9.03,16,32.53
2021-04-01,Thursday,6.7,20.69,12.28,39.67
2021-04-02,Friday,5.07,14.42,11.91,31.4
2021-04-03,Saturday,5.4,13.38,15.52,34.3
2021-04-04,Sunday,6.38,18.83,14.38,39.59
2021-04-05,Monday,5.78,13.19,5.81,24.78
2021-04-06,Tuesday,6.35,14.14,12.04,32.53
2021-04-07,Wednesday,7.37,7.44,11.72,26.53
2021-04-08,Thursday,5.31,11.45,9.52,26.28
2021-04-09,Friday,3.55,16.35,10.78,30.68
2021-04-10,Saturday,6.64,17.7,14.62,38.96
2021-04-11,Sunday,6.1,17.48,12.31,35.89
2021-04-12,Monday,7.47,13.64,11.6,32.71
2021-04-13,Tuesday,5.45,13.44,13.08,31.97
2021-04-14,Wednesday,16.46,11.01,20.16,47.63
2021-04-15,Thursday,14.25,13.44,20.12,47.81
2021-04-16,Friday,10.53,13.93,19.25,43.71
2021-04-17,Saturday,14.4,14.01,16.24,44.65
2021-04-18,Sunday,18.74,9.58,19.69,48.01
2021-04-19,Monday,13.43,8.66,19.48,41.57
2021-04-20,Tuesday,17.32,11.83,18.49,47.64
2021-04-21,Wednesday,10.8,10.8,19.95,41.55
2021-04-22,Thursday,15.86,10.07,20.05,45.98
2021-04-23,Friday,16.7,10.17,17.87,44.74
2021-04-24,Saturday,10.52,23.96,18.5,52.98
2021-04-25,Sunday,20.85,8.93,10.76,40.54
2021-04-26,Monday,16.97,9.76,15.36,42.09
2021-04-27,Tuesday,17.52,12.81,13.3,43.63
2021-04-28,Wednesday,14.82,11.96,17.39,44.17
2021-04-29,Thursday,15.99,11.32,10.56,37.87
2021-04-30,Friday,13.6,10.52,11.37,35.49
2021-05-01,Saturday,18.1,8.66,18.72,45.48
2021-05-02,Sunday,16.73,14.66,9.61,41
2021-05-03,Monday,16.83,11.25,16.89,44.97
2021-05-04,Tuesday,12.81,10.72,22.02,45.55
2021-05-05,Wednesday,16.26,12.09,18.5,46.85
2021-05-06,Thursday,22.07,11.15,17.2,50.42
2021-05-07,Friday,14.38,10.82,15.28,40.48
2021-05-08,Saturday,13.54,13.65,14.9,42.09
2021-05-09,Sunday,13.77,7.16,10.98,31.91
2021-05-10,Monday,14.17,10.3,9.04,33.51
2021-05-11,Tuesday,15.42,10.55,16.49,42.46
2021-05-12,Wednesday,15.8,12.11,10.76,38.67
2021-05-13,Thursday,9.92,6.45,9.92,26.29
2021-05-14,Friday,4.9,15.57,8.12,28.59
2021-05-15,Saturday,5.45,12.99,9.76,28.2
2021-05-16,Sunday,6.27,10.53,9.3,26.1
2021-05-17,Monday,5.25,12.55,6.96,24.76
2021-05-18,Tuesday,6.89,11.7,9.54,28.13
2021-05-19,Wednesday,5.06,9.29,10,24.35
2021-05-20,Thursday,4.18,11.88,10.6,26.66
2021-05-21,Friday,6.24,10.24,7.92,24.4
2021-05-22,Saturday,4.63,11.29,7.38,23.3
2021-05-23,Sunday,9.04,6.45,11.19,26.68
2021-05-24,Monday,6.5,11.25,7.59,25.34
2021-05-25,Tuesday,4.64,8.69,8.05,21.38
2021-05-26,Wednesday,6.73,11.31,8.07,26.11
2021-05-27,Thursday,3.44,7.55,8.23,19.22
2021-05-28,Friday,3.65,5.66,9.05,18.36
2021-05-29,Saturday,4.17,6.53,5.62,16.32
2021-05-30,Sunday,6.36,7.26,7.24,20.86
2021-05-31,Monday,5.05,8.92,7.75,21.72
2021-06-01,Tuesday,3.47,6.51,6.05,16.03
2021-06-02,Wednesday,3.22,7.59,5.93,16.74
2021-06-03,Thursday,4.03,9.17,5.73,18.93
2021-06-04,Friday,5.01,8.99,5,19
2021-06-05,Saturday,4.43,6.75,5.94,17.12
2021-06-06,Sunday,3.39,6.72,6.7,16.81
2021-06-07,Monday,3.8,8.02,6.98,18.8
2021-06-08,Tuesday,5.55,8.75,6.7,21
2021-06-09,Wednesday,3.47,8.39,6.88,18.74
2021-06-10,Thursday,6.66,6.52,6.6,19.78
2021-06-11,Friday,5.91,6.89,2.16,14.96
2021-06-12,Saturday,5.45,5.65,6,17.1
2021-06-13,Sunday,3.76,8.77,7.36,19.89
2021-06-14,Monday,2.95,8.15,5.71,16.81
2021-06-15,Tuesday,3.18,6.98,6.2,16.36
2021-06-16,Wednesday,2.97,6.97,9.24,19.18
2021-06-17,Thursday,4.22,5.96,4.22,14.4
2021-06-18,Friday,3.01,7.88,6.1,16.99
2021-06-19,Saturday,4.68,8.1,7.5,20.28
2021-06-20,Sunday,2.9,3.78,3.67,10.35
2021-06-21,Monday,3.09,5.01,7.33,15.43
2021-06-22,Tuesday,3.14,7.85,9.15,20.14
2021-06-23,Wednesday,4.45,10.47,6.06,20.98
2021-06-24,Thursday,4.07,7.6,7.4,19.07
2021-06-25,Friday,6.06,6.91,2.33,15.3
2021-06-26,Saturday,3.43,5.91,9.51,18.85
2021-06-27,Sunday,2.17,7.86,4.95,14.98
2021-06-28,Monday,8.31,6.5,7.6,22.41
2021-06-29,Tuesday,3.15,7.42,2.78,13.35
2021-06-30,Wednesday,5.05,7.16,7.86,20.07
2021-07-01,Thursday,3.86,6.48,9.18,19.52
2021-07-02,Friday,1.26,7.78,6.59,15.63
2021-07-03,Saturday,6.17,5.48,13,24.65
2021-07-04,Sunday,3.95,8.25,8.77,20.97
2021-07-05,Monday,4.38,7.25,6.38,18.01
2021-07-06,Tuesday,3.33,6.92,10.2,20.45
2021-07-07,Wednesday,2.68,5.7,4.9,13.28
2021-07-08,Thursday,4.82,4.8,10.99,20.61
2021-07-09,Friday,4.96,4.45,7.18,16.59
2021-07-10,Saturday,10.21,6.2,10.5,26.91
2021-07-11,Sunday,5.26,9.34,5.32,19.92
2021-07-12,Monday,1,5.57,7.33,13.9
2021-07-13,Tuesday,5.94,3.27,5.7,14.91
2021-07-14,Wednesday,3.35,5.04,5.56,13.95
2021-07-15,Thursday,3.35,6.3,5.19,14.84
2021-07-16,Friday,5.66,8.52,3.33,17.51
2021-07-17,Saturday,4.79,5.49,8.79,19.07
2021-07-18,Sunday,1.97,7.21,5.04,14.22
2021-07-19,Monday,2.29,3.11,4.03,9.43
2021-07-20,Tuesday,3.75,2.93,3.73,10.41
2021-07-21,Wednesday,2.39,2.72,2.25,7.36
2021-07-22,Thursday,3.53,3.51,3.65,10.69
2021-07-23,Friday,2.6,2.66,3.64,8.9
2021-07-24,Saturday,2.47,2.18,2.19,6.84
2021-07-25,Sunday,3.51,3.42,1.82,8.75
2021-07-26,Monday,3.5,3.72,2.7,9.92
2021-07-27,Tuesday,1.95,3.24,2.06,7.25
2021-07-28,Wednesday,1.63,3.34,2.52,7.49
2021-07-29,Thursday,2.08,2.77,3.04,7.89
2021-07-30,Friday,0,1.58,2.14,3.72
2021-07-31,Saturday,2.95,1.36,1.66,5.97
2021-08-01,Sunday,1.28,2.3,1.45,5.03
2021-08-02,Monday,1.76,1.51,1.55,4.82
2021-08-03,Tuesday,1,1.21,1.42,3.63
2021-08-04,Wednesday,2.52,1.47,1.41,5.4
2021-08-05,Thursday,1.3,1.35,1.7,4.35
2021-08-06,Friday,1.44,1.7,3.72,6.86
2021-08-07,Saturday,1.92,1.45,1.95,5.32
2021-08-08,Sunday,1.85,3.48,1.34,6.67
2021-08-09,Monday,1.32,3.02,1.81,6.15
2021-08-10,Tuesday,1,2.39,1.54,4.93
2021-08-11,Wednesday,1.05,2.51,1.35,4.91
2021-08-12,Thursday,0,2.42,1.98,4.4
2021-08-13,Friday,0,2.17,3.12,5.29
2021-08-14,Saturday,0,1.94,1.7,3.64
2021-08-15,Sunday,1.49,4.47,2.56,8.52
2021-08-16,Monday,2.64,4.45,3.2,10.29
2021-08-17,Tuesday,2.74,5.59,4.28,12.61
2021-08-18,Wednesday,1.59,6.03,3.84,11.46
2021-08-19,Thursday,2.96,7.28,5.9,16.14
2021-08-20,Friday,1,3.88,5.34,10.22
2021-08-21,Saturday,3.2,6.94,6.57,16.71
2021-08-22,Sunday,1,5.4,8.7,15.1
2021-08-23,Monday,3.32,7.86,7.58,18.76
2021-08-24,Tuesday,4.31,8.67,5.85,18.83
2021-08-25,Wednesday,7.25,8.53,8.51,24.29
2021-08-26,Thursday,6.67,14.28,10.67,31.62
2021-08-27,Friday,4.05,13.19,13.89,31.13
2021-08-28,Saturday,6.29,20.33,17.27,43.89
2021-08-29,Sunday,6.85,13.37,12.99,33.21
2021-08-30,Monday,5.96,15,15.83,36.79
2021-08-31,Tuesday,6.14,12.09,15.15,33.38
2021-09-01,Wednesday,6.98,14.77,18.98,40.73
2021-09-02,Thursday,6.6,14.56,16.37,37.53
2021-09-03,Friday,7.39,16.81,12.63,36.83
2021-09-04,Saturday,5.94,18.94,22.25,47.13
2021-09-05,Sunday,5.06,17.56,13.78,36.4
2021-09-06,Monday,6.72,18.97,23.33,49.02
2021-09-07,Tuesday,6.12,19.84,16.5,42.46
2021-09-08,Wednesday,7.38,20.82,19.07,47.27
2021-09-09,Thursday,6.73,20.49,14.74,41.96
2021-09-10,Friday,6.4,20.27,14.54,41.21
2021-09-11,Saturday,8.33,21.7,26.01,56.04
2021-09-12,Sunday,9.91,27.54,24.77,62.22
2021-09-13,Monday,6.81,23.11,21.52,51.44
2021-09-14,Tuesday,8.63,23.47,29.62,61.72
2021-09-15,Wednesday,13.23,27.58,24.58,65.39
2021-09-16,Thursday,12.82,29.63,17.24,59.69
2021-09-17,Friday,9.12,29.54,19.72,58.38
2021-09-18,Saturday,6.58,29.96,26.85,63.39
2021-09-19,Sunday,9.6,26.37,28.66,64.63
2021-09-20,Monday,5.65,18.4,21.26,45.31
2021-09-21,Tuesday,9.83,22.27,27.1,59.2
2021-09-22,Wednesday,8.2,36.21,33.58,77.99
2021-09-23,Thursday,10.76,28.22,19.62,58.6
2021-09-24,Friday,7.86,34.15,17.2,59.21
2021-09-25,Saturday,10.76,30.68,23.07,64.51
2021-09-26,Sunday,9.76,31.07,19.45,60.28
2021-09-27,Monday,10.13,26.32,26.48,62.93
2021-09-28,Tuesday,10.8,33.67,23.4,67.87
2021-09-29,Wednesday,8.17,28.49,25.94,62.6
2021-09-30,Thursday,10.68,26.09,22.16,58.93
2021-10-01,Friday,9.06,30.57,21.48,61.11
2021-10-02,Saturday,11.6,32.36,25.22,69.18
2021-10-03,Sunday,15.21,28.98,23.79,67.98
2021-10-04,Monday,12.95,27.31,27.01,67.27
2021-10-05,Tuesday,14.09,32.96,25.98,73.03
2021-10-06,Wednesday,9,36.18,23.57,68.75
2021-10-07,Thursday,10.48,29.9,18.96,59.34
2021-10-08,Friday,7.6,32.1,21.24,60.94
2021-10-09,Saturday,10.41,25.22,17.56,53.19
2021-10-10,Sunday,11.16,28.17,25.16,64.49
2021-10-11,Monday,10.04,34.41,26.91,71.36
2021-10-12,Tuesday,12.32,28.42,23.49,64.23
2021-10-13,Wednesday,11.63,23.1,27.07,61.8
2021-10-14,Thursday,13.84,29.05,24.17,67.06
2021-10-15,Friday,7.3,26.33,17.41,51.04
2021-10-16,Saturday,15.16,29.48,22.54,67.18
2021-10-17,Sunday,9.6,27.82,21.24,58.66
2021-10-18,Monday,10.58,26.02,16.64,53.24
2021-10-19,Tuesday,7.39,20.69,16.37,44.45
2021-10-20,Wednesday,7.56,21.07,17.27,45.9
2021-10-21,Thursday,5.59,18.42,17.64,41.65
2021-10-22,Friday,5.68,17.36,18.65,41.69
2021-10-23,Saturday,8.01,24.16,29.49,61.66
2021-10-24,Sunday,7.94,30.23,23.67,61.84
2021-10-25,Monday,9.82,28.48,27.62,65.92
2021-10-26,Tuesday,11.73,25.44,25.51,62.68
2021-10-27,Wednesday,9.21,23.83,25.43,58.47
2021-10-28,Thursday,7.66,18.47,19.56,45.69
2021-10-29,Friday,7.04,33.52,0,40.56
2021-10-30,Saturday,6.6,31.07,23.3,60.97
2021-10-31,Sunday,8.8,32.97,32.47,74.24
2021-11-01,Monday,10.25,25.25,25.09,60.59
2021-11-02,Tuesday,9.14,30.3,21.39,60.83
2021-11-03,Wednesday,8.93,29.8,22.72,61.45
2021-11-04,Thursday,9.95,18.53,20.54,49.02
2021-11-05,Friday,4.69,29.25,22.07,56.01
2021-11-06,Saturday,7.75,26.55,21.75,56.05
2021-11-07,Sunday,9.61,29.46,24.77,63.84
2021-11-08,Monday,12.11,33.3,26.92,72.33
2021-11-09,Tuesday,10.35,23.63,22.26,56.24
2021-11-10,Wednesday,15.25,28.61,25.84,69.7
2021-11-11,Thursday,7.82,32.42,25.33,65.57
2021-11-12,Friday,8.98,29.18,23.13,61.29
2021-11-13,Saturday,6.96,29.28,18.94,55.18
2021-11-14,Sunday,7.8,20.2,27.72,55.72
2021-11-15,Monday,13.72,29.12,25.61,68.45
2021-11-16,Tuesday,9.4,31.24,20.57,61.21
2021-11-17,Wednesday,8.61,31.43,28.3,68.34
2021-11-18,Thursday,10.2,28.91,22.72,61.83
2021-11-19,Friday,7.3,27.85,21.2,56.35
2021-11-20,Saturday,10.08,23.09,22.06,55.23
2021-11-21,Sunday,7.22,27.72,16.21,51.15
2021-11-22,Monday,8.61,26.03,25.64,60.28
2021-11-23,Tuesday,9.66,24.95,18.57,53.18
2021-11-24,Wednesday,10.64,21.65,24.44,56.73
2021-11-25,Thursday,8.41,43.48,16.62,68.51
2021-11-26,Friday,10.02,27.93,19.74,57.69
2021-11-27,Saturday,14.77,29.85,26.28,70.9
2021-11-28,Sunday,7.19,24.27,25.93,57.39
2021-11-29,Monday,9.5,28.77,26.18,64.45
2021-11-30,Tuesday,10.2,28.91,22.72,61.83
2021-12-01,Wednesday,5.88,28.58,33.07,67.53
2021-12-02,Thursday,7.83,20.67,14.96,43.46
2021-12-03,Friday,8.9,31.38,20.94,61.22
2021-12-04,Saturday,6.98,25.89,24.05,56.92
2021-12-05,Sunday,8.1,26.02,20.94,55.06
2021-12-06,Monday,8.35,28.99,25.29,62.63
2021-12-07,Tuesday,7.22,29.82,31.34,68.38
2021-12-08,Wednesday,9.44,21.4,21.67,52.51
2021-12-09,Thursday,8.25,28.53,22.94,59.72
2021-12-10,Friday,5.34,27.71,22.52,55.57
2021-12-11,Saturday,6.76,23.58,21.99,52.33
2021-12-12,Sunday,5.6,28.25,17.03,50.88
2021-12-13,Monday,10.09,41.83,23.87,75.79
2021-12-14,Tuesday,14.59,36.3,24.33,75.22
2021-12-15,Wednesday,5.14,31.23,26.91,63.28
2021-12-16,Thursday,8.17,23.7,17.78,49.65
2021-12-17,Friday,7.12,23.64,9.89,40.65
2021-12-18,Saturday,6.71,20.21,15.9,42.82
2021-12-19,Sunday,8.4,18.56,16.72,43.68
2021-12-20,Monday,5.73,18.88,16.12,40.73
2021-12-21,Tuesday,7.7,15.07,18.05,40.82
2021-12-22,Wednesday,3.73,15.9,11.36,30.99
2021-12-23,Thursday,5,10.15,10.88,26.03
2021-12-24,Friday,3.34,11.38,1,15.72
2021-12-25,Saturday,10.23,7,7.93,25.16
2021-12-26,Sunday,0,0,3.59,3.59
2021-12-27,Monday,5.09,10.43,6.08,21.6
2021-12-28,Tuesday,3.47,9.5,6.08,19.05
2021-12-29,Wednesday,6.05,9.75,5.14,20.94
2021-12-30,Thursday,2.05,8.34,6,16.39
2021-12-31,Friday,3.38,4.47,6.6,14.45
2022-01-01,Saturday,4.48,2.17,5.5,12.15
2022-01-02,Sunday,1.88,7.49,5.61,14.98
2022-01-03,Monday,4.92,9.22,7.98,22.12
2022-01-04,Tuesday,3.53,10.88,11.81,26.22
2022-01-05,Wednesday,3.25,2.93,7.47,13.65
2022-01-06,Thursday,2.85,11.1,10.17,24.12
2022-01-07,Friday,3.44,5.1,7.68,16.22
2022-01-08,Saturday,5.82,8.51,11.45,25.78
2022-01-09,Sunday,1.42,14.35,9.06,24.83
2022-01-10,Monday,3.25,11.05,10.06,24.36
2022-01-11,Tuesday,3.35,8.98,12.76,25.09
2022-01-12,Wednesday,4.2,17.9,13.06,35.16
2022-01-13,Thursday,4.22,15.76,10.35,30.33
2022-01-14,Friday,4.47,23.74,15.46,43.67
2022-01-15,Saturday,0,11.26,10.75,22.01
2022-01-16,Sunday,4.61,5.18,9.93,19.72
2022-01-17,Monday,4.32,17.53,9.29,31.14
2022-01-18,Tuesday,2.85,13.14,14.96,30.95
2022-01-19,Wednesday,4.89,6.99,10.45,22.33
